City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Port Augusta,AU,-32.5,137.7667,66.34,42,0,11.54,clear sky
194,Stornoway,GB,58.2093,-6.3865,37.36,75,40,27.63,scattered clouds
195,Touros,BR,-5.1989,-35.4608,81.5,79,7,12.44,clear sky
196,Meulaboh,ID,4.1363,96.1285,79.93,81,42,3.53,scattered clouds
197,Kasongo-Lunda,CD,-6.4667,16.8167,69.06,99,100,0.81,light rain
198,Balakhta,RU,55.38,91.6,-0.94,87,33,3.83,scattered clouds
199,Zalantun,CN,48.0,122.7167,17.28,75,12,2.68,few clouds
200,Salinopolis,BR,-0.6136,-47.3561,80.85,79,93,9.93,overcast clouds
201,Colac,AU,-38.3333,143.5833,63.23,44,56,14.45,broken clouds
202,Aklavik,CA,68.2191,-135.0107,-4.97,94,100,21.23,light snow
203,Joshimath,IN,30.5667,79.5667,46.99,21,0,5.3,clear sky
204,Valdosta,US,30.8327,-83.2785,49.59,65,1,0.0,clear sky
205,Hofn,IS,64.2539,-15.2082,28.58,42,83,7.49,broken clouds
206,Portland,US,45.5234,-122.6762,54.18,90,90,0.0,overcast clouds
207,Tadine,NC,-21.55,167.8833,80.78,74,8,15.41,clear sky
208,Mahebourg,MU,-20.4081,57.7,71.89,88,20,5.75,few clouds
209,Payo,ID,-3.7508,103.6372,80.24,82,87,2.15,overcast clouds
210,High Level,CA,58.5169,-117.136,28.51,64,20,9.22,few clouds
211,Gat,IL,31.61,34.7642,54.28,67,34,3.24,scattered clouds
212,Matai,TZ,-8.3,31.5167,58.15,91,46,3.76,scattered clouds
213,Zyryanovsk,KZ,49.7386,84.2719,-11.2,99,92,1.83,overcast clouds
214,Limon,CR,10.0,-83.0333,76.44,84,100,2.19,overcast clouds
215,Port Townsend,US,48.117,-122.7605,48.16,81,90,4.61,overcast clouds
216,Bone,DE,51.9669,12.1396,34.47,85,38,8.39,scattered clouds
217,Shache,CN,38.4167,77.2406,38.59,35,100,1.1,overcast clouds
218,Agulu,NG,6.11,7.0724,76.98,92,89,3.6,overcast clouds
219,Lorengau,PG,-2.0226,147.2712,85.48,66,16,1.19,few clouds
220,Vostok,RU,46.4856,135.8833,19.17,90,100,3.33,overcast clouds
221,Wewak,PG,-3.5534,143.6268,83.97,76,52,4.94,broken clouds
222,Broken Hill,AU,-31.95,141.4333,67.71,56,40,19.57,scattered clouds
223,Soe,ID,-9.8607,124.284,83.23,51,100,2.42,overcast clouds
224,Bubaque,GW,11.2833,-15.8333,83.19,73,100,10.58,overcast clouds
225,Alofi,NU,-19.0595,-169.9187,80.49,89,98,8.05,overcast clouds
226,Brilon,DE,51.4,8.5833,35.82,93,100,9.91,light rain
227,Pacific Grove,US,36.6177,-121.9166,62.28,51,1,0.0,clear sky
228,Mongua,CO,5.7508,-72.8034,45.23,95,100,1.95,overcast clouds
229,Banda Aceh,ID,5.5577,95.3222,81.07,77,81,3.87,broken clouds
230,Richards Bay,ZA,-28.783,32.0377,64.99,72,99,5.23,overcast clouds
231,Salalah,OM,17.0151,54.0924,73.49,46,0,2.3,clear sky
232,Sorong,ID,-0.8833,131.25,83.52,71,100,3.76,overcast clouds
233,Turukhansk,RU,65.8167,87.9833,0.99,95,100,13.06,overcast clouds
234,Padang,ID,-0.9492,100.3543,82.02,70,98,0.81,overcast clouds
235,Ilulissat,GL,69.2167,-51.1,21.22,79,75,2.3,broken clouds
236,Henties Bay,NA,-22.116,14.2845,57.97,89,0,4.36,clear sky
237,Klyuchi,RU,52.2667,79.1667,15.73,88,100,13.33,overcast clouds
238,Mersin,TR,36.862,34.6509,54.75,84,67,4.05,broken clouds
239,Nan,TH,18.8333,100.6667,69.82,83,20,0.0,few clouds
240,Vao,NC,-22.6667,167.4833,75.99,86,19,20.02,few clouds
241,Brae,GB,60.3964,-1.353,35.51,61,98,29.39,overcast clouds
242,Ahuimanu,US,21.4447,-157.8378,82.11,51,1,8.05,clear sky
243,Bosaso,SO,11.2842,49.1816,77.25,81,38,1.9,scattered clouds
244,Hami,CN,42.8,93.45,28.85,58,30,3.11,scattered clouds
245,Grindavik,IS,63.8424,-22.4338,30.67,80,90,19.57,overcast clouds
246,Saint-Georges,GD,12.0564,-61.7485,78.48,94,20,0.0,few clouds
247,Qaqortoq,GL,60.7167,-46.0333,37.9,98,100,7.38,light rain
248,Warri,NG,5.5167,5.75,77.04,93,100,3.09,overcast clouds
249,Victoria,HK,22.2855,114.1577,69.85,47,100,8.05,overcast clouds
250,Terrace Bay,CA,48.7834,-87.1,6.42,67,15,1.77,few clouds
251,Nizhniy Tsasuchey,RU,50.5167,115.1333,13.01,88,100,4.63,overcast clouds
252,Lewistown,US,40.5992,-77.5714,35.46,75,90,12.66,overcast clouds
253,Petauke,ZM,-14.2426,31.3253,64.06,83,81,9.78,broken clouds
254,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,0,20.71,clear sky
255,Aleksandrovskiy Zavod,RU,50.9237,117.9374,13.6,89,62,1.63,broken clouds
256,Maiduguri,NG,11.8464,13.1603,71.04,25,6,6.6,clear sky
257,Palembang,ID,-2.9167,104.7458,79.07,82,81,3.65,light rain
258,Nivala,FI,63.9167,24.9667,14.72,94,13,4.43,few clouds
259,Belyy Yar,RU,53.6039,91.3903,12.09,73,0,8.95,clear sky
260,Bereda,ES,43.2686,-7.5406,47.95,88,98,7.72,overcast clouds
261,Santo Antonio Do Ica,BR,-3.1022,-67.9397,77.13,87,100,3.47,overcast clouds
262,Hasanabad,IR,36.5465,61.0543,43.0,44,14,6.67,few clouds
263,Kununurra,AU,-15.7667,128.7333,91.38,49,40,9.22,scattered clouds
264,Mecca,SA,21.4267,39.8261,74.66,73,0,2.57,clear sky
265,Conde,BR,-7.2597,-34.9075,80.06,83,20,9.22,few clouds
266,Wanning,CN,18.8003,110.3967,72.79,73,99,13.91,overcast clouds
267,Waingapu,ID,-9.6567,120.2641,86.49,66,51,4.36,broken clouds
268,Kodiak,US,57.79,-152.4072,18.91,49,1,8.05,clear sky
269,Ca Mau,VN,9.1769,105.15,74.01,93,100,5.37,heavy intensity rain
270,Shakhtinsk,KZ,49.71,72.5872,7.36,91,16,9.78,few clouds
271,Leshukonskoye,RU,64.8989,45.7622,14.56,96,100,2.37,light snow
272,Sao Filipe,CV,14.8961,-24.4956,77.47,77,3,11.12,clear sky
273,Sur,OM,22.5667,59.5289,76.23,65,42,11.65,scattered clouds
274,Pontianak,ID,-0.0333,109.3333,82.2,81,100,2.51,overcast clouds
275,Bogashevo,RU,56.3683,85.1447,10.24,79,75,17.9,light shower snow
276,Cuenca,EC,-2.8833,-78.9833,55.53,94,75,0.0,broken clouds
277,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,40,13.67,scattered clouds
278,Lata,PT,40.1629,-8.3327,41.41,91,96,2.62,overcast clouds
279,Half Moon Bay,US,37.4636,-122.4286,62.51,57,1,9.22,clear sky
280,Chudovo,RU,59.1167,31.6833,30.79,97,100,4.88,light snow
281,Camacha,PT,33.0833,-16.3333,59.76,88,75,13.8,broken clouds
282,Lasa,IT,46.6166,10.7002,36.86,96,99,1.03,overcast clouds
