City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
358,Oistins,BB,75.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
362,Douentza,ML,76.91,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
365,Pochutla,MX,74.55,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
367,Batticaloa,LK,79.3,broken clouds,7.7102,81.6924,Grand Star Guest House
369,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
370,Teahupoo,PF,82.36,clear sky,-17.8333,-149.2667,Vanira Lodge
375,Banjar,ID,82.26,broken clouds,-8.19,114.9675,The Hamsa Resort
377,Fare,PF,80.87,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
378,Labuhan,ID,82.78,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
380,Tutoia,BR,80.62,broken clouds,-2.7619,-42.2744,Pousada Guará's
381,Bartica,GY,77.32,moderate rain,6.4,-58.6167,Sloth Island Nature Resort
383,Noumea,NC,89.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
385,Chau Doc,VN,75.09,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
387,Ambulu,ID,82.53,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
391,Nosy Varika,MG,70.48,overcast clouds,-20.5833,48.5333,Hotel Volazara
395,Sibolga,ID,81.0,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
401,Saint-Leu,RE,74.26,light rain,-21.15,55.2833,La Caz Oceane
409,Kihei,US,82.42,scattered clouds,20.785,-156.4656,Maui Sunset
415,The Valley,AI,76.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
419,Conceicao Da Barra,BR,73.09,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
421,Marawi,PH,80.33,scattered clouds,7.9986,124.2928,Derogongan Residence
422,Maunabo,PR,78.62,clear sky,18.0072,-65.8993,Maunacaribe
423,Mapastepec,MX,76.39,overcast clouds,15.4333,-92.9,Hotel San Carlos
428,Mhasla,IN,73.89,few clouds,18.1333,73.1167,OYO 63178 Ghansar Lodge
431,Esperance,AU,73.24,broken clouds,-33.8667,121.9,Hospitality Esperance
438,Tomatlan,MX,72.43,overcast clouds,19.9333,-105.25,El Salvial
446,Caraballeda,VE,82.47,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
448,Eyl,SO,76.8,scattered clouds,7.9803,49.8164,Amiin Hotel
455,Mackay,AU,85.98,broken clouds,-21.15,149.2,International Lodge Motel
456,Namatanai,PG,86.61,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
463,Harper,LR,78.46,light rain,4.375,-7.7169,Screensaver
466,Kieta,PG,86.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
469,Ambanja,MG,74.48,few clouds,-13.6833,48.45,Hotel Salama and Fast Food
470,Bonthe,SL,79.36,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
473,Santana Do Ipanema,BR,75.07,scattered clouds,-9.3783,-37.2453,Watercolor Inn & Restaurant's
475,Joao Camara,BR,79.84,few clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
480,Muisne,EC,74.32,broken clouds,0.6,-80.0333,Quinta Samay
484,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
485,Amalapuram,IN,79.18,overcast clouds,16.5833,82.0167,swayamprabha service apartments
